,age,decile_score,priors_count,decile_score.1,v_decile_score,priors_count.1,two_year_recid,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Caucasian,race_Other
156,29.0,4.0,1.0,4.0,4.0,1.0,0.0,0,1,1,0,0,0,0,1
157,46.0,2.0,1.0,2.0,1.0,1.0,0.0,1,0,0,1,0,0,0,1
158,26.0,4.0,2.0,4.0,4.0,2.0,1.0,1,0,1,0,0,1,0,0
159,55.0,1.0,3.0,1.0,1.0,3.0,0.0,0,1,0,1,0,1,0,0
160,39.0,4.0,1.0,4.0,4.0,1.0,0.0,0,1,1,0,0,0,1,0
161,30.0,7.0,3.0,7.0,4.0,3.0,1.0,1,0,1,0,0,0,1,0
162,30.0,7.0,1.0,7.0,8.0,1.0,0.0,0,1,1,0,0,1,0,0
163,48.0,2.0,2.0,2.0,1.0,2.0,0.0,0,1,0,1,0,0,1,0
164,22.0,2.0,1.0,2.0,4.0,1.0,0.0,0,1,0,0,1,1,0,0
165,46.0,1.0,6.0,1.0,1.0,6.0,1.0,0,1,0,1,0,0,1,0
166,49.0,6.0,6.0,6.0,2.0,6.0,0.0,1,0,0,1,0,0,1,0
167,31.0,5.0,0.0,5.0,4.0,0.0,0.0,0,1,1,0,0,0,1,0
168,25.0,2.0,1.0,2.0,3.0,1.0,1.0,0,1,1,0,0,1,0,0
169,23.0,3.0,0.0,3.0,5.0,0.0,0.0,0,1,0,0,1,0,0,1
170,32.0,7.0,5.0,7.0,3.0,5.0,0.0,1,0,1,0,0,1,0,0
171,52.0,1.0,2.0,1.0,1.0,2.0,0.0,0,1,0,1,0,0,0,1
172,62.0,4.0,8.0,4.0,1.0,8.0,0.0,0,1,0,1,0,1,0,0
173,37.0,10.0,6.0,10.0,4.0,6.0,0.0,1,0,1,0,0,0,1,0
174,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0
175,31.0,9.0,8.0,9.0,7.0,8.0,1.0,0,1,1,0,0,0,0,1
176,28.0,6.0,6.0,6.0,6.0,6.0,1.0,0,1,1,0,0,1,0,0
177,54.0,1.0,2.0,1.0,1.0,2.0,0.0,0,1,0,1,0,0,0,1
178,58.0,2.0,0.0,2.0,1.0,0.0,0.0,0,1,0,1,0,0,0,1
179,78.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0,1,0
180,56.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,1,0
181,24.0,2.0,0.0,2.0,4.0,0.0,0.0,0,1,0,0,1,0,0,1
182,38.0,8.0,22.0,8.0,5.0,22.0,1.0,0,1,1,0,0,1,0,0
183,22.0,5.0,1.0,5.0,5.0,1.0,1.0,0,1,0,0,1,1,0,0
184,47.0,8.0,23.0,8.0,1.0,23.0,1.0,0,1,0,1,0,1,0,0
185,23.0,2.0,0.0,2.0,4.0,0.0,1.0,0,1,0,0,1,1,0,0
186,57.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,0,1
187,38.0,5.0,2.0,5.0,2.0,2.0,1.0,1,0,1,0,0,0,1,0
188,66.0,1.0,3.0,1.0,1.0,3.0,0.0,0,1,0,1,0,1,0,0
189,45.0,4.0,8.0,4.0,3.0,8.0,1.0,0,1,0,1,0,0,1,0
190,52.0,3.0,0.0,3.0,1.0,0.0,1.0,1,0,0,1,0,0,0,1
191,32.0,10.0,13.0,10.0,7.0,13.0,1.0,0,1,1,0,0,1,0,0
192,37.0,9.0,2.0,9.0,8.0,2.0,1.0,0,1,1,0,0,1,0,0
193,39.0,4.0,0.0,4.0,4.0,0.0,1.0,0,1,1,0,0,0,1,0
194,26.0,9.0,9.0,9.0,8.0,9.0,1.0,0,1,1,0,0,1,0,0
195,45.0,3.0,2.0,3.0,4.0,2.0,0.0,0,1,0,1,0,0,1,0
196,23.0,3.0,0.0,3.0,4.0,0.0,1.0,0,1,0,0,1,1,0,0
197,34.0,2.0,2.0,2.0,1.0,2.0,0.0,0,1,1,0,0,1,0,0
198,23.0,4.0,1.0,4.0,4.0,1.0,0.0,1,0,0,0,1,1,0,0
199,36.0,3.0,2.0,3.0,1.0,2.0,1.0,0,1,1,0,0,0,0,1
200,50.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0
201,37.0,3.0,0.0,3.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0
202,44.0,4.0,4.0,4.0,4.0,4.0,0.0,0,1,1,0,0,0,1,0
203,35.0,9.0,23.0,9.0,9.0,23.0,1.0,1,0,1,0,0,1,0,0
204,24.0,5.0,5.0,5.0,4.0,5.0,1.0,0,1,0,0,1,0,0,1
205,26.0,10.0,2.0,10.0,8.0,2.0,1.0,0,1,1,0,0,1,0,0
206,27.0,2.0,0.0,2.0,3.0,0.0,0.0,0,1,1,0,0,1,0,0
207,28.0,8.0,0.0,8.0,6.0,0.0,0.0,1,0,1,0,0,1,0,0
208,43.0,5.0,11.0,5.0,3.0,11.0,1.0,0,1,1,0,0,0,1,0
209,28.0,9.0,7.0,9.0,6.0,7.0,1.0,1,0,1,0,0,0,1,0
210,38.0,1.0,2.0,1.0,1.0,2.0,0.0,0,1,1,0,0,1,0,0
211,27.0,4.0,2.0,4.0,3.0,2.0,0.0,0,1,1,0,0,0,1,0
212,28.0,9.0,1.0,9.0,7.0,1.0,0.0,1,0,1,0,0,1,0,0
213,56.0,1.0,7.0,1.0,1.0,7.0,1.0,0,1,0,1,0,0,1,0
214,38.0,9.0,15.0,9.0,3.0,15.0,0.0,0,1,1,0,0,1,0,0
215,28.0,5.0,2.0,5.0,4.0,2.0,0.0,0,1,1,0,0,1,0,0
216,45.0,6.0,3.0,6.0,4.0,3.0,0.0,0,1,0,1,0,1,0,0
217,28.0,2.0,0.0,2.0,3.0,0.0,0.0,0,1,1,0,0,0,0,1
218,61.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0
219,51.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,0,1,0,0,1,0
220,51.0,2.0,0.0,2.0,2.0,0.0,0.0,0,1,0,1,0,0,1,0
221,36.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,0,1
222,48.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,1,0,0
223,37.0,3.0,4.0,3.0,4.0,4.0,1.0,0,1,1,0,0,0,1,0
224,30.0,7.0,2.0,7.0,4.0,2.0,0.0,1,0,1,0,0,1,0,0
225,41.0,6.0,5.0,6.0,3.0,5.0,0.0,1,0,1,0,0,1,0,0
226,27.0,10.0,11.0,10.0,9.0,11.0,1.0,0,1,1,0,0,1,0,0
227,37.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,1,0,0
228,33.0,4.0,4.0,4.0,2.0,4.0,1.0,0,1,1,0,0,0,0,1
229,54.0,9.0,11.0,9.0,9.0,11.0,0.0,0,1,0,1,0,1,0,0
230,23.0,9.0,2.0,9.0,5.0,2.0,0.0,0,1,0,0,1,1,0,0
231,26.0,4.0,2.0,4.0,6.0,2.0,1.0,1,0,1,0,0,1,0,0
232,41.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,1,0,0
233,52.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,1,0
234,43.0,4.0,13.0,4.0,1.0,13.0,1.0,0,1,1,0,0,0,1,0
235,52.0,4.0,0.0,4.0,3.0,0.0,0.0,0,1,0,1,0,1,0,0
236,28.0,1.0,1.0,1.0,2.0,1.0,0.0,0,1,1,0,0,0,1,0
237,30.0,9.0,11.0,9.0,4.0,11.0,1.0,0,1,1,0,0,1,0,0
238,28.0,5.0,1.0,5.0,3.0,1.0,0.0,0,1,1,0,0,0,1,0
239,22.0,4.0,0.0,4.0,6.0,0.0,0.0,0,1,0,0,1,1,0,0
240,30.0,2.0,4.0,2.0,2.0,4.0,0.0,0,1,1,0,0,1,0,0
241,25.0,4.0,4.0,4.0,4.0,4.0,0.0,0,1,1,0,0,0,0,1
242,31.0,8.0,0.0,8.0,5.0,0.0,1.0,0,1,1,0,0,0,1,0
243,37.0,2.0,0.0,2.0,1.0,0.0,1.0,0,1,1,0,0,0,1,0
244,32.0,9.0,14.0,9.0,8.0,14.0,0.0,0,1,1,0,0,1,0,0
245,26.0,8.0,4.0,8.0,6.0,4.0,0.0,0,1,1,0,0,1,0,0
246,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0
247,28.0,8.0,25.0,8.0,9.0,25.0,1.0,0,1,1,0,0,1,0,0
248,44.0,5.0,8.0,5.0,3.0,8.0,1.0,0,1,1,0,0,0,1,0
249,25.0,3.0,0.0,3.0,4.0,0.0,0.0,0,1,1,0,0,1,0,0
250,22.0,8.0,1.0,8.0,7.0,1.0,1.0,0,1,0,0,1,0,1,0
251,37.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0,0,0,1
252,40.0,2.0,3.0,2.0,1.0,3.0,0.0,1,0,1,0,0,0,0,1
253,36.0,7.0,8.0,7.0,9.0,8.0,1.0,0,1,1,0,0,0,1,0
254,30.0,2.0,4.0,2.0,2.0,4.0,0.0,0,1,1,0,0,0,1,0
255,22.0,9.0,3.0,9.0,9.0,3.0,1.0,0,1,0,0,1,1,0,0
256,24.0,7.0,1.0,7.0,5.0,1.0,1.0,1,0,0,0,1,0,1,0
257,27.0,2.0,3.0,2.0,3.0,3.0,1.0,0,1,1,0,0,1,0,0
258,31.0,2.0,0.0,2.0,2.0,0.0,0.0,1,0,1,0,0,0,0,1
259,23.0,6.0,1.0,6.0,4.0,1.0,1.0,0,1,0,0,1,0,0,1
260,23.0,5.0,5.0,5.0,7.0,5.0,1.0,1,0,0,0,1,0,1,0
261,24.0,8.0,0.0,8.0,7.0,0.0,0.0,0,1,0,0,1,0,0,1
262,29.0,3.0,1.0,3.0,3.0,1.0,0.0,0,1,1,0,0,1,0,0
263,20.0,8.0,1.0,8.0,7.0,1.0,1.0,0,1,0,0,1,1,0,0
264,30.0,6.0,2.0,6.0,5.0,2.0,1.0,0,1,1,0,0,1,0,0
265,39.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,0,0,1
266,27.0,4.0,4.0,4.0,4.0,4.0,0.0,0,1,1,0,0,1,0,0
267,31.0,4.0,2.0,4.0,3.0,2.0,0.0,0,1,1,0,0,0,1,0
268,37.0,1.0,2.0,1.0,1.0,2.0,0.0,1,0,1,0,0,1,0,0
269,20.0,8.0,0.0,8.0,6.0,0.0,0.0,0,1,0,0,1,1,0,0
270,22.0,7.0,0.0,7.0,6.0,0.0,0.0,0,1,0,0,1,0,0,1
271,52.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,1,0,0
272,23.0,4.0,0.0,4.0,4.0,0.0,1.0,1,0,0,0,1,1,0,0
273,48.0,2.0,0.0,2.0,3.0,0.0,0.0,1,0,0,1,0,1,0,0
274,66.0,6.0,8.0,6.0,1.0,8.0,1.0,0,1,0,1,0,1,0,0
275,25.0,5.0,0.0,5.0,4.0,0.0,0.0,0,1,1,0,0,0,1,0
276,27.0,6.0,0.0,6.0,7.0,0.0,1.0,0,1,1,0,0,0,1,0
277,30.0,7.0,11.0,7.0,6.0,11.0,1.0,0,1,1,0,0,1,0,0
278,22.0,10.0,3.0,10.0,7.0,3.0,1.0,0,1,0,0,1,1,0,0
279,22.0,3.0,1.0,3.0,4.0,1.0,0.0,1,0,0,0,1,0,1,0
280,35.0,10.0,2.0,10.0,8.0,2.0,0.0,0,1,1,0,0,1,0,0
281,32.0,4.0,2.0,4.0,4.0,2.0,0.0,0,1,1,0,0,0,1,0
282,41.0,3.0,2.0,3.0,1.0,2.0,0.0,1,0,1,0,0,1,0,0
283,25.0,2.0,0.0,2.0,3.0,0.0,0.0,1,0,1,0,0,0,0,1
284,44.0,7.0,24.0,7.0,3.0,24.0,0.0,0,1,1,0,0,1,0,0
285,52.0,6.0,3.0,6.0,2.0,3.0,1.0,0,1,0,1,0,1,0,0
286,43.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,1,0,0
287,37.0,1.0,3.0,1.0,1.0,3.0,0.0,0,1,1,0,0,0,1,0
288,28.0,4.0,3.0,4.0,3.0,3.0,1.0,0,1,1,0,0,1,0,0
289,70.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0
290,54.0,2.0,6.0,2.0,1.0,6.0,1.0,0,1,0,1,0,0,1,0
291,46.0,4.0,3.0,4.0,2.0,3.0,0.0,0,1,0,1,0,0,1,0
292,21.0,9.0,0.0,9.0,7.0,0.0,1.0,0,1,0,0,1,1,0,0
293,26.0,8.0,1.0,8.0,6.0,1.0,1.0,0,1,1,0,0,1,0,0
294,38.0,1.0,3.0,1.0,1.0,3.0,1.0,0,1,1,0,0,0,0,1
295,34.0,4.0,5.0,4.0,4.0,5.0,0.0,0,1,1,0,0,0,1,0
296,19.0,5.0,1.0,5.0,7.0,1.0,1.0,0,1,0,0,1,1,0,0
297,34.0,4.0,5.0,4.0,4.0,5.0,0.0,0,1,1,0,0,1,0,0
298,23.0,5.0,0.0,5.0,5.0,0.0,1.0,0,1,0,0,1,0,1,0
